nodeID_from,nodeID_to,country_name,country_ISO3,scaled_sci
3267,3267,Madagascar,MDG,552239
3267,3268,Madagascar,MDG,320488
3267,3269,Madagascar,MDG,438829
3267,3270,Madagascar,MDG,377429
3267,3271,Madagascar,MDG,438818
3267,3272,Madagascar,MDG,456338
3268,3267,Madagascar,MDG,320488
3268,3268,Madagascar,MDG,5005020
3268,3269,Madagascar,MDG,368776
3268,3270,Madagascar,MDG,936977
3268,3271,Madagascar,MDG,715253
3268,3272,Madagascar,MDG,554756
3269,3267,Madagascar,MDG,438829
3269,3268,Madagascar,MDG,368776
3269,3269,Madagascar,MDG,5319051
3269,3270,Madagascar,MDG,471547
3269,3271,Madagascar,MDG,474410
3269,3272,Madagascar,MDG,849326
3270,3267,Madagascar,MDG,377429
3270,3268,Madagascar,MDG,936977
3270,3269,Madagascar,MDG,471547
3270,3270,Madagascar,MDG,5240572
3270,3271,Madagascar,MDG,600918
3270,3272,Madagascar,MDG,640295
3271,3267,Madagascar,MDG,438818
3271,3268,Madagascar,MDG,715253
3271,3269,Madagascar,MDG,474410
3271,3270,Madagascar,MDG,600918
3271,3271,Madagascar,MDG,4060142
3271,3272,Madagascar,MDG,545878
3272,3267,Madagascar,MDG,456338
3272,3268,Madagascar,MDG,554756
3272,3269,Madagascar,MDG,849326
3272,3270,Madagascar,MDG,640295
3272,3271,Madagascar,MDG,545878
3272,3272,Madagascar,MDG,8920250
