nodeID_from,nodeID_to,country_name,country_ISO3,scaled_sci
4332,4332,"Taiwan, Province of China",TWN,9518212
4332,4333,"Taiwan, Province of China",TWN,31378
4332,4334,"Taiwan, Province of China",TWN,37567
4332,4335,"Taiwan, Province of China",TWN,28783
4332,4336,"Taiwan, Province of China",TWN,27702
4332,4337,"Taiwan, Province of China",TWN,37951
4332,4338,"Taiwan, Province of China",TWN,28313
4333,4332,"Taiwan, Province of China",TWN,31378
4333,4333,"Taiwan, Province of China",TWN,135143
4333,4334,"Taiwan, Province of China",TWN,19937
4333,4335,"Taiwan, Province of China",TWN,24499
4333,4336,"Taiwan, Province of China",TWN,39717
4333,4337,"Taiwan, Province of China",TWN,23625
4333,4338,"Taiwan, Province of China",TWN,35008
4334,4332,"Taiwan, Province of China",TWN,37567
4334,4333,"Taiwan, Province of China",TWN,19937
4334,4334,"Taiwan, Province of China",TWN,83193
4334,4335,"Taiwan, Province of China",TWN,20956
4334,4336,"Taiwan, Province of China",TWN,18154
4334,4337,"Taiwan, Province of China",TWN,51629
4334,4338,"Taiwan, Province of China",TWN,24711
4335,4332,"Taiwan, Province of China",TWN,28783
4335,4333,"Taiwan, Province of China",TWN,24499
4335,4334,"Taiwan, Province of China",TWN,20956
4335,4335,"Taiwan, Province of China",TWN,147041
4335,4336,"Taiwan, Province of China",TWN,25238
4335,4337,"Taiwan, Province of China",TWN,23951
4335,4338,"Taiwan, Province of China",TWN,37494
4336,4332,"Taiwan, Province of China",TWN,27702
4336,4333,"Taiwan, Province of China",TWN,39717
4336,4334,"Taiwan, Province of China",TWN,18154
4336,4335,"Taiwan, Province of China",TWN,25238
4336,4336,"Taiwan, Province of China",TWN,235155
4336,4337,"Taiwan, Province of China",TWN,20432
4336,4338,"Taiwan, Province of China",TWN,28506
4337,4332,"Taiwan, Province of China",TWN,37951
4337,4333,"Taiwan, Province of China",TWN,23625
4337,4334,"Taiwan, Province of China",TWN,51629
4337,4335,"Taiwan, Province of China",TWN,23951
4337,4336,"Taiwan, Province of China",TWN,20432
4337,4337,"Taiwan, Province of China",TWN,87252
4337,4338,"Taiwan, Province of China",TWN,26367
4338,4332,"Taiwan, Province of China",TWN,28313
4338,4333,"Taiwan, Province of China",TWN,35008
4338,4334,"Taiwan, Province of China",TWN,24711
4338,4335,"Taiwan, Province of China",TWN,37494
4338,4336,"Taiwan, Province of China",TWN,28506
4338,4337,"Taiwan, Province of China",TWN,26367
4338,4338,"Taiwan, Province of China",TWN,105985
