label,ID,LAT,LON
USA26099,5926,0.7437252183969701,-1.448149635955423
USA02122,4725,1.053185735486668,-2.652398457165901
IND22_390,2089,0.4519943602758453,1.6029791433323881
USA72071,7829,0.32195959761279414,-1.1692816492557923
HU222,1792,0.8225987954003291,0.2898855174188022
LKA8_116,3164,0.1087790007800067,1.408503392500926
DE21I,893,0.849693729751768,0.19598806666565427
AGO18,11,-0.10742008927251358,0.21454374231204792
BWA7,378,-0.45149586143346415,0.373417202136599
USA36003,6475,0.7386418430872541,-1.3626039748940613
USA08093,4938,0.6830712585172247,-1.8475312546194285
CAN2_46,561,0.8612919628569986,-2.154766999196654
USA18143,5414,0.6757391099830458,-1.4967605816487484
USA21013,5645,0.6416957220314812,-1.460220946228425
ITH42,2571,0.806805118292696,0.23082151464410455
USA13051,5058,0.5584751004702995,-1.4176295435470059
USA21089,5683,0.6729993164325996,-1.4479059567156807
USA47009,7078,0.6229364818919902,-1.4649050471117109
USA32003,6394,0.6270879505572603,-2.0030599954381105
CAN9_152,667,0.8059239225856574,-1.3860198068604852
IND29_497,2196,0.4503817018171744,1.2837081834154365
USA29217,6236,0.6612379315314554,-1.6456074512924215
USA13021,5044,0.5714975254371097,-1.4608850054462363
USA35033,6459,0.6273346258532289,-1.8292575753256861
EGY26,1373,0.5428083252197892,0.5739768462474464
ES414,1457,0.7395258794111059,-0.07740892162759949
SEN2,4029,0.2620047341775407,-0.2764721904246217
USA05105,4810,0.6101692210471231,-1.6207937141517172
BWA3,374,-0.3695917446357531,0.47990885140086964
LKA5_80,3128,0.12046285624953261,1.393863379766125
USA19119,5494,0.757128109215012,-1.6832568259389806
DZA16,1285,0.6115721540539407,0.053123180976531785
GAB1,1632,0.0017642369836467474,0.1657887712455715
USA22039,5778,0.5371340255225175,-1.6134531100810772
DE409,981,0.9175234440306774,0.24782235273960018
USA01091,4692,0.5636434639083026,-1.5322866179581873
USA47075,7111,0.6224099083654543,-1.559008643177988
USA51155,7539,0.6472131925988801,-1.4070369534692702
RO421,3955,0.8076081279403822,0.377337802083579
USA38055,6663,0.8298513154179147,-1.7676558629930088
USA48341,7339,0.6249581540544966,-1.7769664073219804
DE147,873,0.8320249874996374,0.16426001432104767
TR631,4241,0.6376017776457569,0.6319933601271317
TR903,4264,0.7075419805095268,0.6752587423014228
DE278,965,0.8447257358962798,0.18040106750336804
RS126,3965,0.7915832218711029,0.35730227528118125
CAN11_247,469,0.8194955615942688,-1.2733648936891866
MDG2,3268,-0.2793607490626857,0.8753024039256995
ITG13,2546,0.6620192364162574,0.25763170714074357
DK011,1234,0.9711455267891504,0.22015339065995151
USA13009,5038,0.5772575434007876,-1.4515556858315797
USA13145,5105,0.5712266153752215,-1.4837562328878369
CAN9_149,664,0.751208290351607,-1.4247974650230846
SI031,4042,0.8147835494444099,0.2824782011628558
LKA14_195,2920,0.13179646261563843,1.399308772079044
USA36115,6531,0.7601685070735009,-1.282530843556703
LKA22_281,3025,0.1408534060586296,1.3963179427219177
MEX3,3297,0.48669575325256126,-1.9937233010881794
USA37121,6596,0.6283971605491432,-1.434348735712469
SI032,4043,0.811484758381156,0.2756839612346025
USA42053,6916,0.7224988258236298,-1.382155305720769
DE11A,841,0.8580224997448819,0.17146130177716282
LKA2_27,3075,0.1485318159128378,1.3993172776692362
DE80J,1022,0.9365209705087032,0.22861516890475797
USA08029,4906,0.6805131591321492,-1.881390418402587
USA18147,5416,0.6642337880207128,-1.5177245862756885
LAO11,2800,0.27712248798528794,1.8494106956055874
USA49057,7451,0.7209968029688252,-1.950481472352785
DE111,832,0.8512247144834274,0.16025242293366918
USA29167,6212,0.6570314685896752,-1.6299244951071084
CAN7_110,624,0.7703242914659205,-1.126048298366105
PL224,3776,0.8866484188279801,0.3353671822522572
USA47135,7141,0.6211704066151043,-1.5332220532910776
CAN3_52,567,0.8777040727811035,-1.6964981568232285
DZA8,1324,0.6174453420305402,0.10452590002589592
URY7,4644,-0.5878850240658096,-0.975547667681146
USA13299,5181,0.5435571373081116,-1.439060400313037
IND19_323,2019,0.4151281516036383,1.3380456622749584
USA01057,4675,0.5884113280992302,-1.530343975101029
USA51620,7572,0.6401905699623957,-1.3427565005541366
USA48487,7412,0.5973838507068435,-1.7318788237508298
AGO2,12,-0.23477370178676302,0.2185498286578149
DE944,1059,0.9123373372819117,0.1399992160016711
NZL7,3605,-0.6997264018164409,3.063259112172626
USA48493,7415,0.510912574719111,-1.7123767614042886
PHL2,3700,0.15874702472526359,2.1893761439664883
USA54077,7676,0.6870781841143306,-1.3915332280253194
USA19037,5453,0.751871428697359,-1.6111574652214289
JPN4,2664,0.6107039772499766,2.440400474708961
ITF48,2536,0.7186984283690595,0.2820456039332861
IND19_315,2011,0.41406958592516807,1.4021517871252067
PHL65,3750,0.21053507165423258,2.128229171934584
NL341,3551,0.8951132097737697,0.0656791659255892
TUN9,4330,0.6149667191149513,0.1489252083613058
USA47043,7095,0.6311150495996236,-1.524045199648828
FRF24,1566,0.8414014450655883,0.0895425415477311
IND4_61,2423,0.46577374382883197,1.6066120242622661
HU211,1788,0.8219073722023174,0.32297825672974945
LKA19_262,2987,0.16349796446810697,1.4084156487082953
USA46027,7020,0.7488336274209328,-1.6931027988051126
DOM28,1266,0.32294578166232796,-1.209798780054218
LKA6_94,3142,0.11104530403641821,1.4034183332086843
NIC3,3513,0.2175822390073706,-1.4920679769045733
UKH36,4503,0.9019829003846563,0.009688498902518805
USA29187,6223,0.6606517031965017,-1.5793590554897738
USA42075,6927,0.7039565667339531,-1.334469808506246
