nodeID_from,nodeID_to,country_name,country_ISO3,scaled_sci
1498,1498,Ethiopia,ETH,248809
1498,1499,Ethiopia,ETH,154830
1498,1500,Ethiopia,ETH,215696
1498,1501,Ethiopia,ETH,118776
1498,1502,Ethiopia,ETH,152407
1498,1503,Ethiopia,ETH,156432
1498,1504,Ethiopia,ETH,150164
1498,1505,Ethiopia,ETH,101399
1498,1506,Ethiopia,ETH,186806
1498,1507,Ethiopia,ETH,152454
1498,1508,Ethiopia,ETH,116133
1499,1498,Ethiopia,ETH,154830
1499,1499,Ethiopia,ETH,1223529
1499,1500,Ethiopia,ETH,130549
1499,1501,Ethiopia,ETH,87305
1499,1502,Ethiopia,ETH,111352
1499,1503,Ethiopia,ETH,136389
1499,1504,Ethiopia,ETH,103715
1499,1505,Ethiopia,ETH,104722
1499,1506,Ethiopia,ETH,103434
1499,1507,Ethiopia,ETH,134684
1499,1508,Ethiopia,ETH,34790
1500,1498,Ethiopia,ETH,215696
1500,1499,Ethiopia,ETH,130549
1500,1500,Ethiopia,ETH,10029816
1500,1501,Ethiopia,ETH,523330
1500,1502,Ethiopia,ETH,168702
1500,1503,Ethiopia,ETH,151925
1500,1504,Ethiopia,ETH,97891
1500,1505,Ethiopia,ETH,130807
1500,1506,Ethiopia,ETH,102714
1500,1507,Ethiopia,ETH,82879
1500,1508,Ethiopia,ETH,53668
1501,1498,Ethiopia,ETH,118776
1501,1499,Ethiopia,ETH,87305
1501,1500,Ethiopia,ETH,523330
1501,1501,Ethiopia,ETH,15357490
1501,1502,Ethiopia,ETH,201189
1501,1503,Ethiopia,ETH,108758
1501,1504,Ethiopia,ETH,101631
1501,1505,Ethiopia,ETH,50146
1501,1506,Ethiopia,ETH,101561
1501,1507,Ethiopia,ETH,94784
1501,1508,Ethiopia,ETH,29130
1502,1498,Ethiopia,ETH,152407
1502,1499,Ethiopia,ETH,111352
1502,1500,Ethiopia,ETH,168702
1502,1501,Ethiopia,ETH,201189
1502,1502,Ethiopia,ETH,741333
1502,1503,Ethiopia,ETH,261023
1502,1504,Ethiopia,ETH,75998
1502,1505,Ethiopia,ETH,62231
1502,1506,Ethiopia,ETH,83619
1502,1507,Ethiopia,ETH,82477
1502,1508,Ethiopia,ETH,23906
1503,1498,Ethiopia,ETH,156432
1503,1499,Ethiopia,ETH,136389
1503,1500,Ethiopia,ETH,151925
1503,1501,Ethiopia,ETH,108758
1503,1502,Ethiopia,ETH,261023
1503,1503,Ethiopia,ETH,15172069
1503,1504,Ethiopia,ETH,102408
1503,1505,Ethiopia,ETH,325242
1503,1506,Ethiopia,ETH,124723
1503,1507,Ethiopia,ETH,156250
1503,1508,Ethiopia,ETH,26960
1504,1498,Ethiopia,ETH,150164
1504,1499,Ethiopia,ETH,103715
1504,1500,Ethiopia,ETH,97891
1504,1501,Ethiopia,ETH,101631
1504,1502,Ethiopia,ETH,75998
1504,1503,Ethiopia,ETH,102408
1504,1504,Ethiopia,ETH,3214408
1504,1505,Ethiopia,ETH,54947
1504,1506,Ethiopia,ETH,1106737
1504,1507,Ethiopia,ETH,174655
1504,1508,Ethiopia,ETH,468538
1505,1498,Ethiopia,ETH,101399
1505,1499,Ethiopia,ETH,104722
1505,1500,Ethiopia,ETH,130807
1505,1501,Ethiopia,ETH,50146
1505,1502,Ethiopia,ETH,62231
1505,1503,Ethiopia,ETH,325242
1505,1504,Ethiopia,ETH,54947
1505,1505,Ethiopia,ETH,12035414
1505,1506,Ethiopia,ETH,55036
1505,1507,Ethiopia,ETH,100121
1505,1508,Ethiopia,ETH,19991
1506,1498,Ethiopia,ETH,186806
1506,1499,Ethiopia,ETH,103434
1506,1500,Ethiopia,ETH,102714
1506,1501,Ethiopia,ETH,101561
1506,1502,Ethiopia,ETH,83619
1506,1503,Ethiopia,ETH,124723
1506,1504,Ethiopia,ETH,1106737
1506,1505,Ethiopia,ETH,55036
1506,1506,Ethiopia,ETH,6185928
1506,1507,Ethiopia,ETH,242955
1506,1508,Ethiopia,ETH,136595
1507,1498,Ethiopia,ETH,152454
1507,1499,Ethiopia,ETH,134684
1507,1500,Ethiopia,ETH,82879
1507,1501,Ethiopia,ETH,94784
1507,1502,Ethiopia,ETH,82477
1507,1503,Ethiopia,ETH,156250
1507,1504,Ethiopia,ETH,174655
1507,1505,Ethiopia,ETH,100121
1507,1506,Ethiopia,ETH,242955
1507,1507,Ethiopia,ETH,496205
1507,1508,Ethiopia,ETH,41405
1508,1498,Ethiopia,ETH,116133
1508,1499,Ethiopia,ETH,34790
1508,1500,Ethiopia,ETH,53668
1508,1501,Ethiopia,ETH,29130
1508,1502,Ethiopia,ETH,23906
1508,1503,Ethiopia,ETH,26960
1508,1504,Ethiopia,ETH,468538
1508,1505,Ethiopia,ETH,19991
1508,1506,Ethiopia,ETH,136595
1508,1507,Ethiopia,ETH,41405
1508,1508,Ethiopia,ETH,5157465
